Naam,Pesar,Dokhtar,Rate
بيور,,1,بسيار نادر
بيورد,1,,بسيار نادر
بيورزاد,1,,بسيار نادر
بيوي,,1,بسيار نادر
پَتَه ماني,1,,بسيار نادر
پَرنگ,1,,بسيار نادر
پَريبُرز,1,,بسيار نادر
پَشَنگ,1,,بسيار نادر
پُرشاد,,1,بسيار نادر
پاپريك,1,,بسيار نادر
پاپوك,,1,بسيار نادر
پاتيرا,1,,بسيار نادر
پادار,1,,بسيار نادر
پاداش,1,1,معمولي
پاداشت,1,,بسيار نادر
پادرا,1,,معمولي
پادشا,1,,بسيار نادر
پادميرا,,1,معمولي
پادنا,,1,بسيار نادر
پادينا,,1,معمولي
پاراميدا,,1,معمولي
پارديس,,1,معمولي
پارديك,1,,بسيار نادر
پارس,1,,بسيار نادر
پارسا,1,,پركاربرد
پارسان,1,,معمولي
پارسوا,1,,بسيار نادر
پارسيا,1,,معمولي
پارسيس,1,,بسيار نادر
پارلا,,1,بسيار نادر
پارلار,,1,بسيار نادر
پارميدا,,1,معمولي
پارميس,,1,معمولي
پارمين,,1,معمولي
پارنا,,1,معمولي
پارند,,1,معمولي
پاره وان,1,,بسيار نادر
پاره يار,1,,بسيار نادر
پاساك,1,,بسيار نادر
پاسدار,1,,بسيار نادر
پاشا,1,,معمولي
پاشنگ,,1,بسيار نادر
پاك آفرين,,1,بسيار نادر
پاك رخ,,1,معمولي
پاك سيما,,1,معمولي
پاك گوهر,,1,بسيار نادر
پاكان,1,,بسيار نادر
پاكبانو,,1,معمولي
پاكچهر,,1,معمولي
پاكدخت,,1,معمولي
پاكدل,,1,معمولي
پاكدين,1,1,بسيار نادر
پاكر,1,,بسيار نادر
پاكروان,1,,بسيار نادر
پاكروز,,1,بسيار نادر
پاكروي,,1,بسيار نادر
پاكزاد,1,,معمولي
پاكفر,,1,بسيار نادر
پاكمهر,1,,بسيار نادر
پاكناز,,1,بسيار نادر
پاكنوش,,1,معمولي
پاكيزه,,1,بسيار نادر
پاليز,1,1,معمولي
پامچال,,1,معمولي
پانته,,1,معمولي
پانته آ,,1,معمولي
پانتي,,1,بسيار نادر
پاني,,1,معمولي
پانيا,,1,معمولي
پانيذ,,1,معمولي
پانيسا,,1,معمولي
پانيك,,1,بسيار نادر
پاو,1,,بسيار نادر
پايا,1,,معمولي
پايار,1,,معمولي
پايون,,1,معمولي
پاييز,,1,بسيار نادر
پاييزان,,1,بسيار نادر
پدرام,1,,معمولي
پديده,,1,معمولي
پرارين,,1,بسيار نادر
پرارين دخت,,1,بسيار نادر
پراهام,1,,بسيار نادر
پربها,,1,بسيار نادر
پرتو,,1,بسيار نادر
پرچم,1,,بسيار نادر
پرخيده,,1,بسيار نادر
پرداد,1,,معمولي
پردخت,,1,معمولي
پرديز,,1,معمولي
پرديس,,1,معمولي
پرزاد,,1,معمولي
پرزين,,1,معمولي
پرسا,,1,معمولي
پرستش,,1,معمولي
پرستك,,1,بسيار نادر
پرستو,,1,معمولي
پرستوك,,1,بسيار نادر
پرسون,,1,بسيار نادر
پرسيا,,1,معمولي
پرشان,1,,بسيار نادر
پرشت,,1,بسيار نادر
پرشنگ,,1,بسيار نادر
پرشيا,1,,معمولي
پرك,,1,بسيار نادر
پرگام,,1,بسيار نادر
پرگان,,1,بسيار نادر
پرگشا,,1,بسيار نادر
پرگل,,1,معمولي
پرگون,,1,بسيار نادر
پرمايه,1,,بسيار نادر
پرموديه,1,,بسيار نادر
پرمون,,1,معمولي
پرميس,,1,معمولي
پرن,,1,معمولي
پرنا,,1,بسيار نادر
پرناز,,1,معمولي
پرناك,,1,بسيار نادر
پرند,,1,معمولي
پرندخت,,1,بسيار نادر
پرنددخت,,1,بسيار نادر
پرندديس,,1,بسيار نادر
پرندك,,1,بسيار نادر
پرندوش,,1,بسيار نادر
پرندين,,1,بسيار نادر
پرنسا,,1,بسيار نادر
پرنوش,,1,معمولي
پرنون,,1,بسيار نادر
پرنيا,,1,معمولي
پرنيان,,1,معمولي
پرنين,,1,بسيار نادر
پرو,,1,بسيار نادر
پروا,,1,بسيار نادر
پروانه,,1,معمولي
پروچستا,,1,بسيار نادر
پروچيستا,,1,بسيار نادر
پرور,,1,معمولي
پروش,,1,معمولي
پروشات,,1,بسيار نادر
پرويز,1,,معمولي
پروين,,1,معمولي
پرهام,1,,پركاربرد
پرهان,1,,بسيار نادر
پري,,1,معمولي
پري بانو,,1,معمولي
پري پيكر,,1,بسيار نادر
پري تاج,,1,بسيار نادر
پري جان,,1,بسيار نادر
پري دخت,,1,معمولي
پري رو,,1,معمولي
پري روي,,1,بسيار نادر
پري سيما,,1,معمولي
پري گل,,1,معمولي
پري ويس,,1,معمولي
پريا,,1,پركاربرد
پرياس,,1,بسيار نادر
پريام,1,,بسيار نادر
پريان,,1,معمولي
پريچه,,1,بسيار نادر
پريچهر,,1,معمولي
پريچهره,,1,معمولي
پريرخ,,1,معمولي
پريزاد,,1,معمولي
پريزاده,,1,بسيار نادر
پريژه,,1,بسيار نادر
پريسا,,1,پركاربرد
پريسان,,1,بسيار نادر
پريشا,,1,بسيار نادر
پريفام,,1,بسيار نادر
پريفر,,1,بسيار نادر
پريگون,,1,بسيار نادر
پريماه,,1,بسيار نادر
پريمرز,,1,بسيار نادر
پرين,,1,بسيار نادر
پريناز,,1,معمولي
پرينام,,1,بسيار نادر
پرينوش,,1,معمولي
پريوش,,1,بسيار نادر
پژال,,1,بسيار نادر
پژدو,1,,بسيار نادر
پژمان,1,,معمولي
پژند,1,,بسيار نادر
پژواك,1,1,بسيار نادر
پساك,1,,بسيار نادر
پسته,,1,بسيار نادر
پسنديار,1,,بسيار نادر
پشتيسار,1,,بسيار نادر
پشن,1,,بسيار نادر
پشوتَن,1,,بسيار نادر
پشين,1,,بسيار نادر
پگاه,,1,معمولي
پلاش,1,,بسيار نادر
پلاشان,1,,بسيار نادر
پنجعلي,1,,بسيار نادر
پندار,1,,معمولي
پوپك,,1,معمولي
پوپه,,1,بسيار نادر
پودينه,,1,بسيار نادر
پوران,,1,معمولي
پوران دخت,,1,معمولي
پوربه,1,,بسيار نادر
پورچيستا,,1,بسيار نادر
پورشسب,1,,بسيار نادر
پورك,1,,بسيار نادر
پورنگ,1,,معمولي
پوروچيستا,,1,بسيار نادر
پوروشسب,1,,بسيار نادر
پوري,,1,معمولي
پوريا,1,,پركاربرد
پوريار,1,,معمولي
پوژمان,1,,بسيار نادر
پولا,1,,بسيار نادر
پولاد,1,,بسيار نادر
پولك,,1,بسيار نادر
پونا,,1,بسيار نادر
پونه,,1,معمولي
پويا,1,,پركاربرد
پويان,1,,بسيار نادر
پويين,1,,بسيار نادر
پهلبد,1,,بسيار نادر
پيام,1,,بسيار نادر
پيچك,,1,معمولي
پيداگشسب,1,,بسيار نادر
پيدرا,,1,بسيار نادر
پيراسته,,1,بسيار نادر
پيران,1,,بسيار نادر
پيرايه,,1,معمولي
پيرداد,1,,بسيار نادر
پيروز,1,,معمولي
پيروزان,1,,بسيار نادر
پيروزدخت,,1,بسيار نادر
پيروزگر,1,,بسيار نادر
پيروزه,1,1,بسيار نادر
پيروزي,1,,بسيار نادر
پيشداد,1,,بسيار نادر
پيكان,1,,بسيار نادر
پيلتَن,1,,بسيار نادر
پيلسم,1,,بسيار نادر
پيمان,1,,بسيار نادر
پيمانه,,1,بسيار نادر
پينار,,1,بسيار نادر
پيوند,,1,معمولي
تَرَنُم,,1,معمولي
تَسو,1,,بسيار نادر
تَندُر,,1,بسيار نادر
تَنسِر,1,,بسيار نادر
تَهمتَن,1,,بسيار نادر
تُرنج,,1,معمولي
تِهرت,,1,بسيار نادر
تِيتَك,,1,بسيار نادر
تابا,1,1,بسيار نادر
تابال,1,,بسيار نادر
تابان,1,1,معمولي
تابان چهر,,1,بسيار نادر
تابان دخت,,1,بسيار نادر
تابان رخ,,1,بسيار نادر
تابان گل,,1,بسيار نادر
تابانروي,,1,بسيار نادر
تابانمهر,,1,بسيار نادر
تابش,,1,معمولي
تابناك,,1,معمولي
تابنده,,1,معمولي
تابيتا,,1,معمولي
تاپيك,,1,بسيار نادر
تاتيانا,,1,معمولي
تاتينا,,1,معمولي
تاج الدين,1,,بسيار نادر
تاج الزمان,,1,بسيار نادر
تاج الملك,,1,بسيار نادر
تاج الملوك,,1,بسيار نادر
تاج آفرين,,1,بسيار نادر
تاج بانو,,1,بسيار نادر
تاج بخش,1,,بسيار نادر
تاج بي بي,,1,بسيار نادر
تاج خاتون,,1,بسيار نادر
تاج دخت,,1,بسيار نادر
تاج گل,,1,بسيار نادر
تاج ماه,,1,بسيار نادر
تاج مهر,,1,بسيار نادر
تاجيك,1,,بسيار نادر
تارا,,1,معمولي
تارادخت,,1,بسيار نادر
تاراديس,,1,بسيار نادر
تارح,1,,بسيار نادر
تارخ,1,,بسيار نادر
تارلا,,1,بسيار نادر
تارميتا,,1,معمولي
تازه,,1,بسيار نادر
تاژ,1,1,بسيار نادر
تافته,,1,معمولي
تاك آفرين,,1,بسيار نادر
تاكدخت,,1,بسيار نادر
تاليا,,1,معمولي
تامارا,,1,بسيار نادر
تاميلا,,1,معمولي
تاميما,,1,بسيار نادر
تانسو,,1,بسيار نادر
تانيا,,1,معمولي
تايماز,1,1,بسيار نادر
تباك,1,,بسيار نادر
تبسم,,1,معمولي
تتسگل,,1,بسيار نادر
تحفه,,1,معمولي
تحفه گل,,1,بسيار نادر
تخار,1,,بسيار نادر
تخشا,1,,بسيار نادر
تخشك,,1,بسيار نادر
تخواره,1,,بسيار نادر
تذرو,,1,بسيار نادر
تراب,1,,معمولي
ترانه,,1,معمولي
ترخان,1,,بسيار نادر
ترسا,,1,بسيار نادر
تركان,,1,بسيار نادر
ترگل,,1,معمولي
ترلان,,1,بسيار نادر
ترمه,,1,معمولي
ترنگ,,1,معمولي
ترنيان,,1,معمولي
تروند,,1,بسيار نادر
تريتي,,1,بسيار نادر
تژاو,1,,بسيار نادر
تسنيم,,1,معمولي
تشتر,,1,بسيار نادر
تقدير,1,,معمولي
تقي,1,,معمولي
تك آفرين,1,,بسيار نادر
تك بانو,,1,بسيار نادر
تكاپو,1,,معمولي
تكاو,,1,بسيار نادر
تكاور,1,,بسيار نادر
تكتا,1,,معمولي
تكتم,,1,بسيار نادر
تكش,1,,بسيار نادر
تكين,1,,بسيار نادر
تگين,1,,بسيار نادر
تلكا,,1,بسيار نادر
تلما,,1,بسيار نادر
تلناز,,1,معمولي
تليمان,1,,بسيار نادر
تمنا,,1,معمولي
تميس,,1,بسيار نادر
تميم,1,1,معمولي
تناز,,1,بسيار نادر
تنبور,,1,بسيار نادر
تنديس,,1,معمولي
تني,,1,بسيار نادر
تني نار,,1,بسيار نادر
توان,1,,بسيار نادر
توانا,1,,معمولي
توانايي,1,,بسيار نادر
توتيا,,1,معمولي
توحيد,1,,معمولي
تور,1,,بسيار نادر
توراكينا,,1,بسيار نادر
تورال,1,,بسيار نادر
توران,,1,بسيار نادر
تورانبانو,,1,بسيار نادر
توراندخت,,1,معمولي
تورج,1,,معمولي
تورك,1,,بسيار نادر
تورنگ,1,,معمولي
توري,,1,بسيار نادر
توريا,1,1,بسيار نادر
توس,1,,معمولي
توسا,,1,معمولي
توسكا,1,1,معمولي
توسن,1,,معمولي
توشنامئيتي,,1,بسيار نادر
توفان,,1,بسيار نادر
توفيق,1,,بسيار نادر
توكا,,1,بسيار نادر
توما,1,,بسيار نادر
تهم,1,,بسيار نادر
تهماسب,1,,معمولي
تهمورث,1,,معمولي
تهمورس,1,,بسيار نادر
تهمين,1,,بسيار نادر
تهمينه,,1,بسيار نادر
تي تي,,1,بسيار نادر
تي تي سا,,1,بسيار نادر
تي تي گل,,1,بسيار نادر
تي تي نار,,1,بسيار نادر
تيارا,,1,معمولي
تيام,1,1,معمولي
تيبا,,1,معمولي
تيدآ,,1,بسيار نادر
تيراژه,,1,معمولي
تيران,1,,بسيار نادر
تيرداد,1,,معمولي
تيزهوش,,1,بسيار نادر
تيس,1,,بسيار نادر
تيسا,,1,بسيار نادر
تيساگل,,1,بسيار نادر
تيساناز,,1,بسيار نادر
تيگران,1,,بسيار نادر
تيما,1,1,بسيار نادر
تيماس,1,,بسيار نادر
تيمور,1,,معمولي
تيمورتاش,1,,معمولي
تينا,,1,پركاربرد
تيناب,,1,بسيار نادر
تينوش,,1,بسيار نادر
تيهو,,1,معمولي
ثابت,1,,بسيار نادر
ثاقب,1,,بسيار نادر
ثامر,1,,معمولي
ثريا,,1,معمولي
ثمر,1,1,بسيار نادر
ثمره,,1,معمولي
ثمين,1,1,معمولي
ثمينا,,1,معمولي
ثمينه,,1,معمولي
ثنا,,1,پركاربرد
ثواب,1,,بسيار نادر
جابان,1,,بسيار نادر
جابر,1,,معمولي
جادي,1,,بسيار نادر
جارالله,1,,بسيار نادر
جاسم,1,,بسيار نادر
جاسمين,,1,معمولي
جالينوس,1,,بسيار نادر
جام,,1,بسيار نادر
جاماسب,1,,بسيار نادر
جاماسپ,1,,بسيار نادر
جامشيد,1,,بسيار نادر
جان افروز,1,,بسيار نادر
جان افزا,1,,بسيار نادر
جان آرام,,1,بسيار نادر
جان بخشان,1,,بسيار نادر
جان پرور,1,,بسيار نادر
جان محمد,1,,بسيار نادر
جان نواز,,1,بسيار نادر
جانا,,1,بسيار نادر
جانام,,1,بسيار نادر
جانان,1,,بسيار نادر
جانانه,,1,بسيار نادر
جانبانو,,1,بسيار نادر
جاندخت,,1,بسيار نادر
جانعلي,1,,بسيار نادر
جانلي,1,,بسيار نادر
جانمهر,,1,بسيار نادر
جانوسيار,1,,بسيار نادر
جانوشيار,1,,بسيار نادر
جاني,1,,بسيار نادر
جانيار,1,,بسيار نادر
جاويد,1,,بسيار نادر
جاهد,1,,بسيار نادر
جبار,1,,بسيار نادر
جبريل,1,,بسيار نادر
جبرئيل,1,,بسيار نادر
جبلي,1,,بسيار نادر
جرجيس,1,,بسيار نادر
جرير,1,,معمولي
جريره,,1,معمولي
جستان,1,,بسيار نادر
جعفر,1,,معمولي
جلال,1,,معمولي
جلال الدين,1,,معمولي
جلاير,1,,بسيار نادر
جلوه,,1,بسيار نادر
جليل,1,,معمولي
جم,1,,معمولي
جمال,1,,معمولي
جمال الدين,1,,معمولي
جمدخت,,1,بسيار نادر
جمشاد,1,,بسيار نادر
جمشيد,1,,معمولي
جمهور,1,,معمولي
جميله,,1,معمولي
جناب,1,,بسيار نادر
جنان,,1,بسيار نادر
جنت,,1,معمولي
جندل,1,,بسيار نادر
جنيد,1,,معمولي
جواد,1,,پركاربرد
جوان,1,,بسيار نادر
جوانشير,1,,معمولي
جوانمردي,1,,بسيار نادر
جوانوي,1,,بسيار نادر
جوانه,,1,معمولي
جواهر,,1,معمولي
جوهر,,1,بسيار نادر
جويا,1,,بسيار نادر
جويان,1,,بسيار نادر
جهان,1,,معمولي
جهان افروز,,1,معمولي
جهان آذر,,1,بسيار نادر
جهان آسا,,1,بسيار نادر
جهان آفرين,1,,بسيار نادر
جهان آوا,,1,معمولي
جهان بانو,,1,معمولي
جهان بخش,1,,بسيار نادر
جهان بين,1,,معمولي
جهان خاتون,,1,بسيار نادر
جهان فر,1,,معمولي
جهان ماه,,1,بسيار نادر
جهان مهر,1,1,معمولي
جهانبان,1,,بسيار نادر
جهانتاب,,1,بسيار نادر
جهاندار,1,,بسيار نادر
جهاندخت,,1,معمولي
جهانرخ,,1,بسيار نادر
جهانسوز,1,,بسيار نادر
جهانشاد,1,,بسيار نادر
جهانشاه,1,,بسيار نادر
جهانشيد,1,,بسيار نادر
جهانشير,1,,بسيار نادر
جهانگشاي,1,,بسيار نادر
جهانگير,1,,معمولي
جهانيار,1,,بسيار نادر
جهن,1,,بسيار نادر
جيحون,,1,معمولي
جيران,,1,بسيار نادر
جيلا,,1,بسيار نادر
چَمان,,1,معمولي
چابك,1,,بسيار نادر
چاكان,1,,بسيار نادر
چالش,1,,بسيار نادر
چالي,,1,بسيار نادر
چاليك,1,,بسيار نادر
چام,,1,بسيار نادر
چامه,,1,بسيار نادر
چاووش,1,,معمولي
چاوه,1,,بسيار نادر
چراغ,1,,بسيار نادر
چراغعلي,1,,بسيار نادر
چرمه,,1,بسيار نادر
چشمه,,1,معمولي
چكاد,1,,بسيار نادر
چكاو,,1,بسيار نادر
چكاوك,,1,بسيار نادر
چكاوه,,1,بسيار نادر
چلچله,,1,معمولي
چليپا,1,1,بسيار نادر
چمان,,1,بسيار نادر
چمانه,,1,معمولي
چمن,,1,بسيار نادر
چمن افروز,,1,بسيار نادر
چمن آرا,,1,بسيار نادر
چمن چهر,,1,بسيار نادر
چنگش,1,,بسيار نادر
چنگيز,1,,بسيار نادر
چنور,1,1,بسيار نادر
چوبين,1,,بسيار نادر
چوبينه,1,,بسيار نادر
چوك,,1,بسيار نادر
چوگان,1,,بسيار نادر
چهراب,,1,بسيار نادر
چهرافروز,,1,بسيار نادر
چهرآذر,1,1,بسيار نادر
چهرآرا,,1,بسيار نادر
چهرآزاد,1,1,بسيار نادر
چهربرزين,1,,بسيار نادر
چهرزاد,,1,بسيار نادر
چهرفروز,,1,بسيار نادر
چهرك,,1,بسيار نادر
چهرمينو,,1,بسيار نادر
چهره,,1,بسيار نادر
چهره گل,,1,بسيار نادر
چهل چراغ,,1,بسيار نادر
چيا,1,,بسيار نادر
چياكو,1,,بسيار نادر
چيترا,,1,بسيار نادر
چيچك,,1,معمولي
چيستا,,1,معمولي
چيستي,,1,معمولي
چيكا,,1,بسيار نادر
چيلان,1,,بسيار نادر
چيلانه,,1,بسيار نادر
چينوَد,1,,بسيار نادر
حاتم,1,,معمولي
حاديد,1,,بسيار نادر
حارث,1,,معمولي
حارثه,,1,معمولي
حارس,1,,معمولي
حافظ,1,,معمولي
حافظ الدين,1,,معمولي
حام,1,,بسيار نادر
حامد,1,,پركاربرد
حامده,,1,معمولي
حامي,1,,بسيار نادر
حامين,1,,بسيار نادر
حانان,1,,بسيار نادر
حانون,1,,بسيار نادر
حاني,1,1,بسيار نادر
حانيه,,1,پركاربرد
حايري,1,,بسيار نادر
حبان,1,,بسيار نادر
حبيب,1,,معمولي
حبيب الله,1,,معمولي
حبيبه,,1,معمولي
حجت,1,,معمولي
حجت الدين,1,,معمولي
حداد,1,,معمولي
حديث,,1,پركاربرد
حديثه,,1,پركاربرد
حديقه,,1,معمولي
حرمت,,1,معمولي
حرمت علي,1,,بسيار نادر
حره,,1,بسيار نادر
حرير,,1,معمولي
حزين,1,,بسيار نادر
حسام,1,,پركاربرد
حسام الدين,1,,معمولي
حسان,1,1,معمولي
حسانه,,1,معمولي
حسن,1,,پركاربرد
حسن يوسف,1,,بسيار نادر
حسنا,,1,معمولي
حسني,,1,معمولي
حسيب,1,,بسيار نادر
حسيبا,,1,بسيار نادر
حسين,1,,پركاربرد
حسينيه,,1,بسيار نادر
حشمت,1,1,معمولي
حشمت الله,1,,معمولي
حصيل,1,,بسيار نادر
حفصه,,1,بسيار نادر
حفيظ,1,,معمولي
حكمت,1,,معمولي
حكيم,1,,معمولي
حكيمه,,1,معمولي
حلاج,1,,معمولي
حلما,,1,معمولي
حليا,,1,معمولي
حليم,1,,معمولي
حليمه,,1,معمولي
حليه,,1,معمولي
حماسه,,1,معمولي
حمام,1,,بسيار نادر
حمدالدين,1,,بسيار نادر
حمدالله,1,,بسيار نادر
حمرا,,1,بسيار نادر
حمراه,,1,بسيار نادر
حمزه,1,,معمولي
حميد,1,,معمولي
حميدالدين,1,,بسيار نادر
حميدالله,1,,بسيار نادر
حميدرضا,1,,پركاربرد
حميده,,1,معمولي
حميرا,,1,معمولي
حميم,1,,بسيار نادر
حنا,,1,بسيار نادر
حنان,1,,معمولي
حنانه,,1,پركاربرد
حنيف,1,,معمولي
حنيفه,,1,معمولي
حنين,1,,بسيار نادر
حوا,,1,معمولي
حور,,1,معمولي
حورا,,1,معمولي
حورآسا,,1,معمولي
حورآفرين,,1,معمولي
حورجهان,,1,بسيار نادر
حورديس,,1,معمولي
حوررخ,,1,بسيار نادر
حورزاد,,1,معمولي
حوروش,,1,معمولي
حوري,,1,معمولي
حوري بانو,,1,بسيار نادر
حوري دخت,,1,بسيار نادر
حوري رخ,,1,بسيار نادر
حوري زاد,,1,بسيار نادر
حوري لقا,,1,بسيار نادر
حوريا,,1,معمولي
حوريه,,1,معمولي
حيات,,1,معمولي
حيدر,1,,معمولي
حيفا,,1,معمولي
خُوروَش,,1,معمولي
خُونيرِث,1,,بسيار نادر
خابان,1,,بسيار نادر
خاتون,,1,معمولي
خاتونك,,1,بسيار نادر
خارا,,1,بسيار نادر
خارك,,1,بسيار نادر
خاروس,1,,بسيار نادر
خاره,,1,بسيار نادر
خاشعه,,1,بسيار نادر
خاطرافروز,,1,بسيار نادر
خاطرآسا,,1,بسيار نادر
خاطرنواز,,1,بسيار نادر
خاطره,,1,معمولي
خاقان,1,,بسيار نادر
خالد,1,,بسيار نادر
خالده,,1,بسيار نادر
خالق,1,,بسيار نادر
خالواش,,1,بسيار نادر
خانم,,1,معمولي
خانم گل,,1,معمولي
خانوم,,1,بسيار نادر
خاور,1,1,معمولي
خاوين,1,,بسيار نادر
ختا,,1,بسيار نادر
ختمي,,1,معمولي
ختن,,1,بسيار نادر
خجسته,,1,بسيار نادر
خجسته لقا,,1,بسيار نادر
خجير,,1,بسيار نادر
خدا نظر,,1,معمولي
خداآفريد,1,1,بسيار نادر
خدابخش,1,,معمولي
خدابنده,1,,معمولي
خداداد,1,,معمولي
خدادوست,1,,معمولي
خداطلب,1,,معمولي
خداكريم,1,,بسيار نادر
خدايار,1,,معمولي
خديجه,,1,معمولي
خديو,1,,بسيار نادر
خراد,1,,بسيار نادر
خراسان,1,,بسيار نادر
خرام,,1,بسيار نادر
خرامان,,1,بسيار نادر
خرداد,1,,معمولي
خردادبرزين,1,,بسيار نادر
خردادبه,1,,معمولي
خردمند,1,,معمولي
خرزاد,1,,بسيار نادر
خرشا,,1,بسيار نادر
خرشاد,1,1,بسيار نادر
خرشيد,1,1,بسيار نادر
خرم,1,,بسيار نادر
خرم بانو,,1,بسيار نادر
خرم بهار,,1,بسيار نادر
خرم چهر,,1,بسيار نادر
خرم گل,,1,بسيار نادر
خرمدخت,,1,بسيار نادر
خرمدل,,1,بسيار نادر
خرمشاد,1,,معمولي
خرمن,,1,بسيار نادر
خرمناز,,1,معمولي
خرمه,,1,بسيار نادر
خروش,1,,بسيار نادر
خزان,,1,بسيار نادر
خزر,,1,بسيار نادر
خسرو,1,,معمولي
خسروپرويز,1,,بسيار نادر
خسروداد,1,,بسيار نادر
خسروزاد,1,,بسيار نادر
خسروشاد,1,,بسيار نادر
خشاش,1,,بسيار نادر
خشاشه,1,,بسيار نادر
خشايار,1,,بسيار نادر
خشايارشا,1,,بسيار نادر
خشنواز,1,,بسيار نادر
خشنود,1,,بسيار نادر
خضر,1,,معمولي
خضرا,,1,معمولي
خليل,1,,معمولي
خليل الله,1,,معمولي
خنجست,1,,بسيار نادر
خندان,1,1,بسيار نادر
خندان چهر,,1,بسيار نادر
خندان گل,,1,بسيار نادر
خوب چهر,,1,بسيار نادر
خوبرخ,,1,بسيار نادر
خوبروي,,1,بسيار نادر
خوبيار,,1,بسيار نادر
خوتكا,,1,بسيار نادر
خوردخت,,1,بسيار نادر
خورديس,,1,بسيار نادر
خورزاد,1,1,بسيار نادر
خورسان,1,1,بسيار نادر
خورسند,1,,بسيار نادر
خورشاد,,1,بسيار نادر
خورشيد,1,1,معمولي
خورشيد چهر,,1,بسيار نادر
خورشيدبانو,,1,معمولي
خورشيددخت,,1,بسيار نادر
خورشيدرخ,,1,بسيار نادر
خورشيدفر,,1,بسيار نادر
خورشيدكلاه,1,1,بسيار نادر
خورشيدمهر,,1,بسيار نادر
خوزان,1,,بسيار نادر
خوش لقا,,1,بسيار نادر
خوش منش,1,,بسيار نادر
خوش نواز,1,,بسيار نادر
خوشاب,,1,بسيار نادر
خوشبوي,,1,بسيار نادر
خوشچهر,,1,معمولي
خوشخو,,1,معمولي
خوشدل,,1,معمولي
خوشروي,,1,معمولي
خوشگو,,1,معمولي
خوشنام,1,,معمولي
خوشنوا,,1,بسيار نادر
خوشنود,1,,بسيار نادر
خوشه,,1,بسيار نادر
خوشين,,1,بسيار نادر
خيام,1,,بسيار نادر
خيرالدين,1,,بسيار نادر
خيرالله,1,,معمولي
خيرالنسا,,1,معمولي
خيرالنساء,,1,معمولي
خيرانديش,1,,معمولي
خيرعلي,1,,معمولي
خيزران,,1,بسيار نادر
دَريز,1,,بسيار نادر
دَسَم,1,,بسيار نادر
دَستنبو,,1,بسيار نادر
دُخمل,,1,بسيار نادر
دُرافشان,,1,بسيار نادر
دُردانه,,1,معمولي
دُرنا,,1,معمولي
دُغدو,,1,بسيار نادر
دِرمنَه,,1,بسيار نادر
داتَه,1,,بسيار نادر
داتام,1,,بسيار نادر
داتان,1,,بسيار نادر
داتيس,1,,بسيار نادر
دادار,1,,بسيار نادر
دادآفريد,1,1,معمولي
دادآفرين,1,1,معمولي
دادبان,1,,بسيار نادر
دادبرزين,1,,بسيار نادر
دادبه,1,,معمولي
دادپويه,1,,معمولي
دادجو,1,,معمولي
دادخواه,1,,معمولي
دادرس,1,,معمولي
دادعلي,1,,معمولي
دادفر,1,,معمولي
دادفرخ,1,,بسيار نادر
دادفروز,1,,معمولي
دادكار,1,,بسيار نادر
دادگر,1,,معمولي
دادلي,,1,معمولي
دادمهر,1,,معمولي
دادنام,1,,بسيار نادر
دادوَر,1,,بسيار نادر
دادهرمز,1,,بسيار نادر
داديار,1,,بسيار نادر
دارا,1,,معمولي
داراب,1,,بسيار نادر
داران,1,,بسيار نادر
دارانا,1,1,بسيار نادر
دارمان,1,,بسيار نادر
دارنوش,1,,معمولي
داريا,1,,بسيار نادر
دارياو,1,,بسيار نادر
دارينا,,1,معمولي
دارينوش,1,,بسيار نادر
دارينه,,1,بسيار نادر
داريو,1,,بسيار نادر
داريوش,1,,بسيار نادر
داژو,1,,بسيار نادر
داشاب,1,,بسيار نادر
داشاد,1,,بسيار نادر
داليا,,1,معمولي
داماسپيا,,1,بسيار نادر
دامور,1,,بسيار نادر
دامون,1,,بسيار نادر
دامينه,,1,معمولي
دان,1,,بسيار نادر
دانا,1,,معمولي
دانژه,,1,بسيار نادر
دانش,1,,معمولي
دانشمند,1,,بسيار نادر
دانوش,1,,معمولي
دانيا,,1,بسيار نادر
دانيال,1,,پركاربرد
داو,1,,بسيار نادر
داود,1,,معمولي
داور,1,,معمولي
داورا,1,,بسيار نادر
داوود,1,,معمولي
داويد,1,,بسيار نادر
دايان,1,,معمولي
دايانا,,1,معمولي
دخت مهر,,1,بسيار نادر
درا,,1,بسيار نادر
دراج,,1,بسيار نادر
دربانو,,1,بسيار نادر
دربها,,1,بسيار نادر
درة التاج,,1,بسيار نادر
درتا,,1,بسيار نادر
درخشا,,1,بسيار نادر
درخشان,,1,معمولي
درسا,,1,پركاربرد
درستي,,1,بسيار نادر
درفام,,1,بسيار نادر
درفشان,,1,بسيار نادر
درگل,,1,بسيار نادر
درمان,,1,بسيار نادر
درناز,,1,بسيار نادر
دروار,,1,بسيار نادر
دره,,1,بسيار نادر
دري,,1,بسيار نادر
دريا,,1,بسيار نادر
دريادخت,,1,بسيار نادر
درياناز,,1,بسيار نادر
دريتا,,1,بسيار نادر
دريم,1,1,بسيار نادر
درين,,1,بسيار نادر
دستان,1,,بسيار نادر
دشمه,1,,بسيار نادر
دل افروز,,1,بسيار نادر
دل انگيز,,1,معمولي
دل آرا,,1,معمولي
دل آرام,,1,معمولي
دل آسا,,1,بسيار نادر
دل آشوب,,1,معمولي
دل آويز,,1,بسيار نادر
دل بهار,,1,بسيار نادر
دلارا,,1,معمولي
دلارام,,1,معمولي
دلاور,1,,معمولي
